epoch,train_loss,lr
0,71.35626516943579,4.969836434458088e-05
1,57.84986613643062,4.8800884649231264e-05
2,50.087885953886015,4.7329659842615016e-05
3,44.8277992977108,4.532091636218621e-05
4,41.383141886393226,4.2824116139070415e-05
5,38.85779086688618,3.990073868116559e-05
6,37.22369938480961,3.6622767243618894e-05
7,35.85578237516386,3.307091636218621e-05
8,34.8021932639732,2.933264439348566e-05
9,33.86930991576599,2.5500000000000003e-05
10,33.29582447292569,2.1667355606514353e-05
11,32.924046674161346,1.792908363781379e-05
12,32.31807691831847,1.4377232756381107e-05
13,32.13027150953138,1.1099261318834413e-05
14,31.739211953652873,8.175883860929588e-06
15,31.65429117151209,5.6790836378137905e-06
16,31.63708745595571,3.6703401573849893e-06
17,31.302298165398675,2.1991153507687385e-06
18,31.319552883113825,1.3016356554191274e-06
19,31.35142543277225,5e-05
20,30.99602741138355,4.992447467646164e-05
21,30.063670863933392,4.969836434458088e-05
22,29.376176478755365,4.9323063049743075e-05
23,28.503860459198822,4.8800884649231264e-05
24,27.89138363606221,4.8135048546526525e-05
25,27.31564479449848,4.7329659842615016e-05
26,26.734275242573506,4.638968402667526e-05
27,26.07582177170762,4.532091636218621e-05
28,25.625745074985264,4.412994615720076e-05
29,25.09310445699606,4.2824116139070415e-05
30,24.6586821994266,4.1411477184089504e-05
31,23.961711954340206,3.990073868116559e-05
32,23.631793074736724,3.8301214835540747e-05
33,23.23332318967527,3.6622767243618894e-05
34,22.81900861997862,3.4875744092944704e-05
35,22.45323854326128,3.307091636218621e-05
36,22.061845532666457,3.1219411414469685e-05
37,21.810119486628352,2.933264439348566e-05
38,21.58990580653285,2.742224784533221e-05
39,21.162125369235202,2.5500000000000003e-05
40,20.897518520870726,2.3577752154667805e-05
41,20.736957066166507,2.1667355606514353e-05
42,20.561189843942454,1.978058858553032e-05
43,20.377517158577035,1.792908363781379e-05
44,20.21823290575732,1.6124255907055302e-05
45,20.01216666969093,1.4377232756381107e-05
46,19.824601527033625,1.2698785164459256e-05
47,19.721013039941187,1.1099261318834413e-05
48,19.617884738681553,9.588522815910505e-06
49,19.458066593891864,8.175883860929588e-06
50,19.448024385469452,6.870053842799242e-06
51,19.275797112267295,5.6790836378137905e-06
52,19.286727145770648,4.610315973324742e-06
53,19.259546514975057,3.6703401573849893e-06
54,19.179787964691986,2.864951453473475e-06
55,19.208166406304986,2.1991153507687385e-06
56,19.236040263133006,1.6769369502569243e-06
57,18.98895569534989,1.3016356554191274e-06
58,19.193338421658353,1.0755253235383648e-06
59,19.057397249238985,5e-05
60,18.740681117977108,4.998111138789771e-05
61,18.488184282457507,4.992447467646164e-05
62,18.11447518975885,4.98301771953957e-05
63,17.647000656815262,4.969836434458088e-05
64,17.34331580290923,4.952923936987915e-05
65,16.826961385709744,4.9323063049743075e-05
66,16.319497821223628,4.908015329311436e-05
67,15.92365742726369,4.8800884649231264e-05
68,15.700464140058637,4.848568773010087e-05
69,15.141954549840978,4.8135048546526525e-05
70,14.777040381560454,4.7749507758714496e-05
71,14.484227491499068,4.7329659842615016e-05
72,14.195854034080162,4.687615217328353e-05
73,13.96453543104567,4.638968402667526e-05
74,13.651853911597449,4.587100550141236e-05
75,13.404721440839339,4.532091636218621e-05
76,13.022602628759437,4.474026480657825e-05
